rpm,voltage,statorCurrent,supplyCurrent,closedLoopError,distance,made,pressDuration,shotsInBurst
3215.625,7.55,3.36,2.02,34.375,3.181148172288851,true,0.0,0
3352.3828125,6.84,3.66,2.0,-102.3828125,3.172778632210684,true,0.0,0
3352.734375,6.74,0.58,0.34,-102.734375,3.167935955791827,true,0.0,0
3090.8203125,7.96,3.3200000000000003,1.96,159.1796875,3.1650261555187837,true,0.0,0
3337.5,7.03,3.8000000000000003,2.3000000000000003,-87.5,3.1734855627843404,true,0.0,0
3077.6953125,8.43,3.72,2.22,172.3046875,3.1844662544813866,true,0.0,0
3309.0234375,6.69,3.4,1.98,-59.0234375,3.172618666742265,true,0.0,0
3015.234375,8.0,3.48,2.1,234.765625,3.174680689725266,true,0.0,0
3067.265625,8.700000000000001,3.22,1.8800000000000001,182.734375,3.1811611604913126,true,0.0,0
3299.0625,8.61,3.34,1.96,25.9375,6.070208961544442,true,0.0,0
3424.5703125,6.8500000000000005,2.6,1.56,-99.5703125,6.070106383835605,true,0.0,0
3419.6484375,7.01,3.74,2.24,-94.6484375,6.070172996790906,true,0.0,0
3395.625,7.16,3.8200000000000003,2.3000000000000003,-70.625,6.070077206986265,true,0.0,0
3420.9375,7.16,3.7600000000000002,2.22,-95.9375,6.070029992986149,true,0.0,0
3407.8125,7.08,2.14,1.32,-82.8125,6.069975982191867,true,0.0,0
3442.6171875,6.59,3.88,2.34,-117.6171875,6.070120984322512,true,0.0,0
3139.5703125,8.4,4.62,2.82,185.4296875,6.070150734354126,true,0.0,0
3450.0,6.68,2.84,1.68,-125.0,6.070078949506477,true,0.0,0
3409.453125,7.2700000000000005,2.7600000000000002,1.68,-84.453125,6.070096728494811,true,0.0,0
3446.8359375,6.83,3.16,1.84,-121.8359375,6.069982428694495,true,0.0,0
3417.421875,8.14,4.24,2.52,-92.421875,6.070148506365434,true,0.0,0
3368.0859375,7.33,4.62,3.5,-43.0859375,6.070111771383959,true,0.0,0
3394.5703125,7.11,4.68,2.7800000000000002,-69.5703125,6.0701694613273744,true,0.0,0
3157.8515625,7.73,5.22,2.96,167.1484375,6.070015297124927,true,0.0,0
3401.015625,7.23,4.3,2.6,-76.015625,6.069684061323506,true,0.0,0
